Afghanistan	%%2000%%2016%%13.7341
Middle East & North Africa (excluding high income)	%%2000%%2016%%12.1732
Middle income	%%2000%%2016%%-7.3037
Moldova	%%2000%%2016%%-28.1658
Mongolia	%%2000%%2016%%-0.3428
Montenegro	%%2000%%2016%%-0.164
Morocco	%%2000%%2016%%-8.9377
Mozambique	%%2000%%2016%%-6.7227
Myanmar	%%2000%%2016%%0.9761
Namibia	%%2000%%2016%%5.286
Nepal	%%2000%%2016%%-3.1565
Netherlands	%%2000%%2016%%4.1391
New Caledonia	%%2000%%2016%%-6.466
New Zealand	%%2000%%2016%%9.9573
Nicaragua	%%2000%%2016%%36.9547
Niger	%%2000%%2016%%7.8229
Nigeria	%%2000%%2016%%10.5044
North America	%%2000%%2016%%-5.027
Norway	%%2000%%2016%%0.175
OECD members	%%2000%%2016%%3.9715
Oman	%%2000%%2016%%40.4706
Other small states	%%2000%%2016%%3.7479
Pacific island small states	%%2000%%2016%%-2.890
Pakistan	%%2000%%2016%%62.9663
Panama	%%2000%%2016%%25.9723
Papua New Guinea	%%2000%%2016%%-1.2194
Paraguay	%%2000%%2016%%21.0469
Peru	%%2000%%2016%%16.6645
Philippines	%%2000%%2016%%11.0134
Poland	%%2000%%2016%%14.252
Portugal	%%2000%%2016%%-5.9226
Post-demographic dividend	%%2000%%2016%%3.2437
Pre-demographic dividend	%%2000%%2016%%2.8028
Puerto Rico	%%2000%%2016%%-5.073
Qatar	%%2000%%2016%%43.6988
Romania	%%2000%%2016%%-17.3313
Russian Federation	%%2000%%2016%%10.1662
Rwanda	%%2000%%2016%%1.4773
Samoa	%%2000%%2016%%-30.8016
Sao Tome and Principe	%%2000%%2016%%12.9261
Saudi Arabia	%%2000%%2016%%8.1231
Senegal	%%2000%%2016%%9.7707
Serbia	%%2000%%2016%%-7.7569
Sierra Leone	%%2000%%2016%%1.673
Singapore	%%2000%%2016%%12.3128
Slovak Republic	%%2000%%2016%%6.3938
Slovenia	%%2000%%2016%%-1.1844
Small states	%%2000%%2016%%4.7065
Solomon Islands	%%2000%%2016%%2.3286
Somalia	%%2000%%2016%%1.0891
South Africa	%%2000%%2016%%-5.5183
South Asia	%%2000%%2016%%-16.3756
South Asia (IDA & IBRD)	%%2000%%2016%%-16.3756
Spain	%%2000%%2016%%26.2226
Sri Lanka	%%2000%%2016%%-15.8902
St. Lucia	%%2000%%2016%%0.0247
St. Vincent and the Grenadines	%%2000%%2016%%12.097
Sub-Saharan Africa	%%2000%%2016%%3.9042
Sub-Saharan Africa (IDA & IBRD)	%%2000%%2016%%3.9042
Sub-Saharan Africa (excluding high income)	%%2000%%2016%%3.9042
Sudan	%%2000%%2016%%-6.8251
Suriname	%%2000%%2016%%11.4854
Swaziland	%%2000%%2016%%19.6176
Sweden	%%2000%%2016%%2.4892
Switzerland	%%2000%%2016%%6.7074
Syrian Arab Republic	%%2000%%2016%%-45.8078
Tajikistan	%%2000%%2016%%2.8354
Tanzania	%%2000%%2016%%-14.2182
Thailand	%%2000%%2016%%-2.1671
Timor-Leste	%%2000%%2016%%-30.9175
Togo	%%2000%%2016%%6.8916
Tonga	%%2000%%2016%%7.9427
Trinidad and Tobago	%%2000%%2016%%27.0578
Tunisia	%%2000%%2016%%9.1755
Turkey	%%2000%%2016%%7.9294
Turkmenistan	%%2000%%2016%%-0.2532
Uganda	%%2000%%2016%%1.6492
Ukraine	%%2000%%2016%%2.8278
United Arab Emirates	%%2000%%2016%%18.7862
United Kingdom	%%2000%%2016%%5.7286
United States	%%2000%%2016%%-6.0226
Upper middle income	%%2000%%2016%%-5.4376
Uruguay	%%2000%%2016%%14.1557
Uzbekistan	%%2000%%2016%%3.5104
Vanuatu	%%2000%%2016%%-11.6552
Venezuela, RB	%%2000%%2016%%13.0879
Vietnam	%%2000%%2016%%1.4963
Virgin Islands (U.S.)	%%2000%%2016%%-0.6996
West Bank and Gaza	%%2000%%2016%%41.0886
World	%%2000%%2016%%-4.1973
Yemen, Rep.	%%2000%%2016%%-0.5392
Zambia	%%2000%%2016%%-2.5044
Zimbabwe	%%2000%%2016%%12.8909
